Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
A,"Agilent Technologies, Inc.",67.79,21609387591,n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AA,Alcoa Corporation,36.38,6784653503,n/a,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
AABA,Altaba Inc.,62.46,37638229294,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba
AAC,"AAC Holdings, Inc.",3,73790025,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AAL,"American Airlines Group, Inc.",36.86,16977032726,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal
AAMC,Altisource Asset Management Corp,45,72597060,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/aamc
AAME,Atlantic American Corporation,3.5979,72855614.89,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aame
AAN,"Aaron&#39;s,  Inc.",50.63,3674639380,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
AAOI,"Applied Optoelectronics, Inc.",21.71,427643493.2,n/a,2013,Technology,Semiconductors,https://www.nasdaq.com/symbol/aaoi
AAON,"AAON, Inc.",43.84,2283824502,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
AAP,Advance Auto Parts Inc,172.45,12775312942,n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
AAPL,Apple Inc.,208.5,9.89415E+11,n/a,1980,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/aapl
AAT,"American Assets Trust, Inc.",39.04,1843551604,n/a,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat
AAU,"Almaden Minerals, Ltd.",0.518,57829325.75,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau
AAWW,Atlas Air Worldwide Holdings,56.16,1437150855,n/a,n/a,Transportation,Transportation Services,https://www.nasdaq.com/symbol/aaww
